Vivado Simulator 2018.2
Time resolution is 1 ps
At time   0ns:sys_rst_n = 0, an = 1111, a_to_g = 11000000, open = x
At time  20ns:sys_rst_n = 0, an = 1111, a_to_g = 11000000, open = 0
At time 100ns:sys_rst_n = 1, an = 1111, a_to_g = 11000000, open = 0
At time 1000100ns:sys_rst_n = 1, an = 0001, a_to_g = 10010010, open = 0
At time 1000300ns:sys_rst_n = 1, an = 0001, a_to_g = 11000000, open = 0
At time 1000540ns:sys_rst_n = 1, an = 0001, a_to_g = 11000000, open = 1
At time 2000100ns:sys_rst_n = 1, an = 0010, a_to_g = 10100100, open = 1
At time 3000100ns:sys_rst_n = 1, an = 0100, a_to_g = 10010010, open = 1
At time 4000100ns:sys_rst_n = 1, an = 1000, a_to_g = 11000000, open = 1
At time 5000100ns:sys_rst_n = 1, an = 0001, a_to_g = 11000000, open = 1
At time 6000100ns:sys_rst_n = 1, an = 0010, a_to_g = 10100100, open = 1
At time 7000100ns:sys_rst_n = 1, an = 0100, a_to_g = 10010010, open = 1
At time 8000100ns:sys_rst_n = 1, an = 1000, a_to_g = 11000000, open = 1
At time 9000100ns:sys_rst_n = 1, an = 0001, a_to_g = 11000000, open = 1
At time 10000100ns:sys_rst_n = 1, an = 0010, a_to_g = 10100100, open = 1
At time 11000100ns:sys_rst_n = 1, an = 0100, a_to_g = 10010010, open = 1
At time 12000100ns:sys_rst_n = 1, an = 1000, a_to_g = 11000000, open = 1
At time 13000100ns:sys_rst_n = 1, an = 0001, a_to_g = 11000000, open = 1
At time 14000100ns:sys_rst_n = 1, an = 0010, a_to_g = 10100100, open = 1
At time 15000100ns:sys_rst_n = 1, an = 0100, a_to_g = 10010010, open = 1
At time 16000100ns:sys_rst_n = 1, an = 1000, a_to_g = 11000000, open = 1
At time 17000100ns:sys_rst_n = 1, an = 0001, a_to_g = 11000000, open = 1
At time 18000100ns:sys_rst_n = 1, an = 0010, a_to_g = 10100100, open = 1
At time 19000100ns:sys_rst_n = 1, an = 0100, a_to_g = 10010010, open = 1
At time 20000100ns:sys_rst_n = 1, an = 1000, a_to_g = 11000000, open = 1
At time 21000100ns:sys_rst_n = 1, an = 0001, a_to_g = 11000000, open = 1
At time 22000100ns:sys_rst_n = 1, an = 0010, a_to_g = 10100100, open = 1
At time 23000100ns:sys_rst_n = 1, an = 0100, a_to_g = 10010010, open = 1
At time 24000100ns:sys_rst_n = 1, an = 1000, a_to_g = 11000000, open = 1
At time 25000100ns:sys_rst_n = 1, an = 0001, a_to_g = 11000000, open = 1
At time 26000100ns:sys_rst_n = 1, an = 0010, a_to_g = 10100100, open = 1
At time 27000100ns:sys_rst_n = 1, an = 0100, a_to_g = 10010010, open = 1
At time 28000100ns:sys_rst_n = 1, an = 1000, a_to_g = 11000000, open = 1
At time 29000100ns:sys_rst_n = 1, an = 0001, a_to_g = 11000000, open = 1
At time 30000100ns:sys_rst_n = 1, an = 0010, a_to_g = 10100100, open = 1
At time 31000100ns:sys_rst_n = 1, an = 0100, a_to_g = 10010010, open = 1
At time 32000100ns:sys_rst_n = 1, an = 1000, a_to_g = 11000000, open = 1
At time 33000100ns:sys_rst_n = 1, an = 0001, a_to_g = 11000000, open = 1
At time 34000100ns:sys_rst_n = 1, an = 0010, a_to_g = 10100100, open = 1
At time 35000100ns:sys_rst_n = 1, an = 0100, a_to_g = 10010010, open = 1
At time 36000100ns:sys_rst_n = 1, an = 1000, a_to_g = 11000000, open = 1
At time 37000100ns:sys_rst_n = 1, an = 0001, a_to_g = 11000000, open = 1
At time 38000100ns:sys_rst_n = 1, an = 0010, a_to_g = 10100100, open = 1
At time 39000100ns:sys_rst_n = 1, an = 0100, a_to_g = 10010010, open = 1
At time 40000100ns:sys_rst_n = 1, an = 1000, a_to_g = 11000000, open = 1
At time 41000100ns:sys_rst_n = 1, an = 0001, a_to_g = 11000000, open = 1
At time 42000100ns:sys_rst_n = 1, an = 0010, a_to_g = 10100100, open = 1
At time 43000100ns:sys_rst_n = 1, an = 0100, a_to_g = 10010010, open = 1
At time 44000100ns:sys_rst_n = 1, an = 1000, a_to_g = 11000000, open = 1
At time 45000100ns:sys_rst_n = 1, an = 0001, a_to_g = 11000000, open = 1
At time 46000100ns:sys_rst_n = 1, an = 0010, a_to_g = 10100100, open = 1
At time 47000100ns:sys_rst_n = 1, an = 0100, a_to_g = 10010010, open = 1
At time 48000100ns:sys_rst_n = 1, an = 1000, a_to_g = 11000000, open = 1
At time 49000100ns:sys_rst_n = 1, an = 0001, a_to_g = 11000000, open = 1
At time 50000100ns:sys_rst_n = 1, an = 0010, a_to_g = 10100100, open = 1
At time 51000100ns:sys_rst_n = 1, an = 0100, a_to_g = 10010010, open = 1
At time 52000100ns:sys_rst_n = 1, an = 1000, a_to_g = 11000000, open = 1
At time 53000100ns:sys_rst_n = 1, an = 0001, a_to_g = 11000000, open = 1
At time 54000100ns:sys_rst_n = 1, an = 0010, a_to_g = 10100100, open = 1
At time 55000100ns:sys_rst_n = 1, an = 0100, a_to_g = 10010010, open = 1
At time 56000100ns:sys_rst_n = 1, an = 1000, a_to_g = 11000000, open = 1
At time 57000100ns:sys_rst_n = 1, an = 0001, a_to_g = 11000000, open = 1
At time 58000100ns:sys_rst_n = 1, an = 0010, a_to_g = 10100100, open = 1
At time 59000100ns:sys_rst_n = 1, an = 0100, a_to_g = 10010010, open = 1
At time 60000100ns:sys_rst_n = 1, an = 1000, a_to_g = 11000000, open = 1
At time 61000100ns:sys_rst_n = 1, an = 0001, a_to_g = 11000000, open = 1
At time 62000100ns:sys_rst_n = 1, an = 0010, a_to_g = 10100100, open = 1
At time 63000100ns:sys_rst_n = 1, an = 0100, a_to_g = 10010010, open = 1
At time 64000100ns:sys_rst_n = 1, an = 1000, a_to_g = 11000000, open = 1
At time 65000100ns:sys_rst_n = 1, an = 0001, a_to_g = 11000000, open = 1
At time 66000100ns:sys_rst_n = 1, an = 0010, a_to_g = 10100100, open = 1
At time 67000100ns:sys_rst_n = 1, an = 0100, a_to_g = 10010010, open = 1
At time 68000100ns:sys_rst_n = 1, an = 1000, a_to_g = 11000000, open = 1
At time 69000100ns:sys_rst_n = 1, an = 0001, a_to_g = 11000000, open = 1
At time 70000100ns:sys_rst_n = 1, an = 0010, a_to_g = 10100100, open = 1
At time 71000100ns:sys_rst_n = 1, an = 0100, a_to_g = 10010010, open = 1
At time 72000100ns:sys_rst_n = 1, an = 1000, a_to_g = 11000000, open = 1
At time 73000100ns:sys_rst_n = 1, an = 0001, a_to_g = 11000000, open = 1
At time 74000100ns:sys_rst_n = 1, an = 0010, a_to_g = 10100100, open = 1
At time 75000100ns:sys_rst_n = 1, an = 0100, a_to_g = 10010010, open = 1
At time 76000100ns:sys_rst_n = 1, an = 1000, a_to_g = 11000000, open = 1
At time 77000100ns:sys_rst_n = 1, an = 0001, a_to_g = 11000000, open = 1
At time 78000100ns:sys_rst_n = 1, an = 0010, a_to_g = 10100100, open = 1
At time 79000100ns:sys_rst_n = 1, an = 0100, a_to_g = 10010010, open = 1
At time 80000100ns:sys_rst_n = 1, an = 1000, a_to_g = 11000000, open = 1
At time 81000100ns:sys_rst_n = 1, an = 0001, a_to_g = 11000000, open = 1
At time 82000100ns:sys_rst_n = 1, an = 0010, a_to_g = 10100100, open = 1
At time 83000100ns:sys_rst_n = 1, an = 0100, a_to_g = 10010010, open = 1
At time 84000100ns:sys_rst_n = 1, an = 1000, a_to_g = 11000000, open = 1
At time 85000100ns:sys_rst_n = 1, an = 0001, a_to_g = 11000000, open = 1
At time 86000100ns:sys_rst_n = 1, an = 0010, a_to_g = 10100100, open = 1
At time 87000100ns:sys_rst_n = 1, an = 0100, a_to_g = 10010010, open = 1
At time 88000100ns:sys_rst_n = 1, an = 1000, a_to_g = 11000000, open = 1
At time 89000100ns:sys_rst_n = 1, an = 0001, a_to_g = 11000000, open = 1
